2026-07-13 12:32:38 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DIGI/1.2 [200] (2620143 octets)
2026-07-13 12:32:38 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Économie - FUA' (DSD_FUA_ECO@DF_ECONOMY)...
2026-07-13 12:32:39 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ECO/1.1 [200] (2337607 octets)
2026-07-13 12:32:39 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Degrés-jours de chauffage et de refroidissement - Villes et FUA' (DSD_FUA_ENER@DF_CDD_HDD)...
2026-07-13 12:32:39 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:39 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:39 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:39 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENER : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENER/1.2 apres 3 tentatives : None
2026-07-13 12:32:39 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Émissions de gaz à effet de serre - Villes et FUAs' (DSD_FUA_ENV@DF_GHG)...
2026-07-13 12:32:39 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENV/1.5 apres 3 tentatives : None
2026-07-13 12:32:40 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Espaces verts - FUA' (DSD_FUA_ENV@DF_GREEN_AREA)...
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENV/1.2 apres 3 tentatives : None
2026-07-13 12:32:40 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Couverture du sol - Villes et FUAs' (DSD_FUA_ENV@DF_LAND_COVER)...
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:40 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENV/1.4 apres 3 tentatives : None
2026-07-13 12:32:40 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Pollution de l'air - Villes et FUA' (DSD_FUA_ENV@DF_POLLUTION)...
2026-07-13 12:32:41 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:41 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:41 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:41 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENV/1.5 apres 3 tentatives : None
2026-07-13 12:32:41 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Aires protégées - Villes et FUAs' (DSD_FUA_ENV@DF_PROT_AREAS)...
2026-07-13 12:32:41 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:41 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:41 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:41 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENV/1.5 apres 3 tentatives : None
2026-07-13 12:32:41 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Perte du couvert forestier - Villes et FUAs' (DSD_FUA_ENV@DF_TREE_COVER_LOSS)...
2026-07-13 12:32:41 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | discover:184 | DSD introuvable pour DSD_FUA_ENV : Echec de la requete vers https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_ENV/1.4 apres 3 tentatives : None
2026-07-13 12:32:42 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Îlot de chaleur urbain - FUA' (DSD_FUA_ENV@DF_UHI)...
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
2026-07-13 12:32:42 | WARNING  | oecd_connector | client:157 | HTTP 429 recu de l'API OCDE. Pause de 0 secondes.
