2026-07-13 19:27:00 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.KLT.DINV.CD.WD [200] (335 octets)
2026-07-13 19:27:00 | INFO     | worldbank_connector | discover:198 | -> BM.KLT.DINV.CD.WD contient 66 observation(s) pour BFA.
2026-07-13 19:27:00 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Foreign direct investment, net outflows (% of GDP)' (BM.KLT.DINV.WD.GD.ZS)...
2026-07-13 19:27:13 | WARNING  | worldbank_connector | client:183 | Erreur HTTP 400 sur https://api.worldbank.org/v2/country/BFA/indicator/BM.KLT.DINV.WD.GD.ZS (tentative 1/3) : 400 Client Error: Bad Request for url: https://api.worldbank.org/v2/country/BFA/indicator/BM.KLT.DINV.WD.GD.ZS?per_page=1&format=json
2026-07-13 19:27:13 | INFO     | worldbank_connector | client:193 | Nouvelle tentative dans 5 secondes...
2026-07-13 19:27:29 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.KLT.DINV.WD.GD.ZS [200] (330 octets)
2026-07-13 19:27:29 | INFO     | worldbank_connector | discover:198 | -> BM.KLT.DINV.WD.GD.ZS contient 66 observation(s) pour BFA.
2026-07-13 19:27:29 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Secondary income, other sectors, payments (BoP, current US$)' (BM.TRF.PRVT.CD)...
2026-07-13 19:27:50 | INFO     | worldbank_connector | client:169 | Requete OK : https://api.worldbank.org/v2/country/BFA/indicator/BM.TRF.PRVT.CD [200] (334 octets)
2026-07-13 19:27:50 | INFO     | worldbank_connector | discover:198 | -> BM.TRF.PRVT.CD contient 66 observation(s) pour BFA.
2026-07-13 19:27:50 | INFO     | worldbank_connector | discover:193 | Verification de la couverture pour 'Personal remittances, paid (current US$)' (BM.TRF.PWKR.CD.DT)...
